tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,214,214319,9,,Sara Cakarevic,R,,FRA,26.8,221657,,Q,Camilla Zanolini,U,,ITA,20.8,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,467,118,984,18
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,215,236972,16,,Luisina Giovannini,U,,ARG,17.2,219625,,,Fernanda Labrana,R,,CHI,24.8,2-6 6-1 7-5,3,R32,,,,,,,,,,,,,,,,,,,,641,63,798,37
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,216,213837,2,,Ylena In Albon,R,,SUI,24.8,214713,,Q,Camila Romero,R,175,ECU,25.2,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,257,290,993,18
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,301,221333,1,WC,Solana Sierra,R,,ARG,19.5,214238,,,Verena Meliss,U,,ITA,26.5,6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,,174,434,790,38
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,302,206037,,,Daniela Seguel,U,171,CHI,31.1,211809,6,,Daria Lodikova,R,,RUS,27.6,6-2 6-2,3,R16,,,,,,,,,,,,,,,,,,,,670,57,347,186
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,303,204419,3,,Ana Sofia Sanchez,L,,MEX,29.7,211965,13,,Jasmin Jebawy,U,,GER,27.2,W/O,3,R16,,,,,,,,,,,,,,,,,,,,297,231,566,81
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,304,220446,,,Jazmin Ortenzi,R,,ARG,22.1,211921,10,,Julieta Lara Estable,R,,ARG,26.5,4-6 7-5 6-4,3,R16,,,,,,,,,,,,,,,,,,,,762,42,505,103
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,305,214254,12,,Alice Rame,R,,FRA,26.2,210847,8,,Miriana Tona,U,,ITA,29.0,2-6 6-2 6-0,3,R16,,,,,,,,,,,,,,,,,,,,531,92,388,159
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,306,206430,4,,Carolina Alves,U,,BRA,27.7,222859,15,,Maria Sara Popa,L,,ROU,18.4,6-2 6-2,3,R16,,,,,,,,,,,,,,,,,,,,303,226,603,73
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,307,206194,7,,Gabriela Ce,L,,BRA,30.8,214319,9,,Sara Cakarevic,R,,FRA,26.8,7-6(4) 6-2,3,R16,,,,,,,,,,,,,,,,,,,,385,161,467,118
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,308,213837,2,,Ylena In Albon,R,,SUI,24.8,236972,16,,Luisina Giovannini,U,,ARG,17.2,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,,257,290,641,63
